"event.id","visible","timestamp","location.long","location.lat","individual.id","deployment.id","tag.id","study.id","sensor.type.id","individual.local.identifier","tag.local.identifier","individual.taxon.canonical.name","behavioural.classification","habitat","height.raw","study.name","sensor.type"
8979658423,"true",2017-09-09 13:00:00,-86.045722,34.94017,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",73,41,183,"Eastern Wild Turkey_Margadant","GPS"
8979658054,"true",2017-09-09 15:00:00,-86.04486,34.944545,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",16,41,347,"Eastern Wild Turkey_Margadant","GPS"
8979658055,"true",2017-09-09 17:00:00,-86.045761,34.944461,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",3,41,358,"Eastern Wild Turkey_Margadant","GPS"
8979658056,"true",2017-09-09 19:00:00,-86.04618,34.944088,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",3,41,328,"Eastern Wild Turkey_Margadant","GPS"
8979658057,"true",2017-09-10 01:00:00,-86.046272,34.944091,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",0,41,324,"Eastern Wild Turkey_Margadant","GPS"
8979658058,"true",2017-09-10 07:00:00,-86.045928,34.944164,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",0,41,307,"Eastern Wild Turkey_Margadant","GPS"
8979658059,"true",2017-09-10 09:00:00,-86.04776,34.940761,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",8,41,293,"Eastern Wild Turkey_Margadant","GPS"
8979658424,"true",2017-09-10 11:00:00,-86.045074,34.938549,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",6,41,251,"Eastern Wild Turkey_Margadant","GPS"
8979658425,"true",2017-09-10 13:00:00,-86.044593,34.938587,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",3,41,252,"Eastern Wild Turkey_Margadant","GPS"
8979658426,"true",2017-09-10 15:00:00,-86.044189,34.938064,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",5,41,226,"Eastern Wild Turkey_Margadant","GPS"
8979658427,"true",2017-09-10 17:00:00,-86.043411,34.936412,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",8,41,246,"Eastern Wild Turkey_Margadant","GPS"
8979658428,"true",2017-09-10 19:00:00,-86.043067,34.936668,667696344,667696375,666713536,658518884,653,"Sky_462",462,"Meleagris gallopavo",3,41,253,"Eastern Wild Turkey_Margadant","GPS"
